Excel файл;Название показателя;Код показателя;Excel колонка 2022;Excel колонка 2023;Ключевое слово 2022;Ключевое слово 2023
T24_000000_t10Ved14.xlsx;в том числе из оборотных активов: Запасы;VToChiIzOboAktZap;5;6;в том числе из оборотных активов: Запасы;в том числе из оборотных активов: Запасы
T24_000000_t10Ved14.xlsx;в том числе из оборотных активов: налог на добавленную стоимость по приобретенным ценностям;VToChiIzOboAktNalNaDobStoPoPriTse;7;8;в том числе из оборотных активов: налог на добавленную стоимость по приобретенным ценностям;в том числе из оборотных активов: налог на добавленную стоимость по приобретенным ценностям
T24_000000_t10Ved14.xlsx;в том числе из оборотных активов: дебиторская задолженность;VToChiIzOboAktDebZad;9;10;в том числе из оборотных активов: дебиторская задолженность;в том числе из оборотных активов: дебиторская задолженность
T24_000000_t10Ved14.xlsx;в том числе из оборотных активов: краткосрочные финансовые вложения (за исключением денежных эквивалентов);VToChiIzOboAktKraFinVlo(zIskDenEkv;11;12;в том числе из оборотных активов: краткосрочные финансовые вложения (за исключением денежных эквивалентов);в том числе из оборотных активов: краткосрочные финансовые вложения (за исключением денежных эквивалентов)
T24_000000_t10Ved14.xlsx;в том числе из оборотных активов: денежные средства и денежные эквиваленты;VToChiIzOboAktDenSreIDenEkv;13;14;в том числе из оборотных активов: денежные средства и денежные эквиваленты;в том числе из оборотных активов: денежные средства и денежные эквиваленты
T24_000000_t10Ved14.xlsx;в том числе из оборотных активов: прочие оборотные активы;VToChiIzOboAktProOboAkt;15;47;в том числе из оборотных активов: прочие оборотные активы;в том числе из оборотных активов: прочие оборотные активы
T24_000000_t13Ved14.xlsx;Оборотные активы длительность 1 оборота;OboAktDli1Obo;3;;Оборотные активы длительность 1 оборота;Оборотные активы длительность 1 оборота
T24_000000_t13Ved14.xlsx;Запасы длительность 1 оборота;ZapDli1Obo;4;;Запасы длительность 1 оборота;Запасы длительность 1 оборота
T24_000000_t13Ved14.xlsx;Краткосрочная кредиторская задолженность средний срок погашения;KraKreZadSreSrPog;5;;Краткосрочная кредиторская задолженность средний срок погашения;Краткосрочная кредиторская задолженность средний срок погашения
T24_000000_t13Ved14.xlsx;Финансовые и дру-гие активы (деби-торская, НДС по приобретенным ценностям, краткосрочные финансовые вложения) средний срок погашения;FinIDruAkt(deNdPoPriTseKraFinVloSreSrPog;6;;Финансовые и дру-гие активы (деби-торская, НДС по приобретенным ценностям, краткосрочные финансовые вложения) средний срок погашения;Финансовые и дру-гие активы (деби-торская, НДС по приобретенным ценностям, краткосрочные финансовые вложения) средний срок погашения
T24_000000_t13Ved14.xlsx;Дебиторская задол-женность средний срок погашения;DebZadSreSrPog;7;;Дебиторская задол-женность средний срок погашения;Дебиторская задол-женность средний срок погашения
T24_000000_t13Ved14.xlsx;Средняя стоимость оборотных активов, тыс.рублей;SreStoOboAktTys;8;19;Средняя стоимость оборотных активов, тыс.рублей;Средняя стоимость оборотных активов, тыс.рублей
T24_000000_t19Ved14.xlsx;Уставный капитал                                            (Паевой фонд);UstKap(paFon;3;4;Уставный капитал                                            (Паевой фонд);Уставный капитал                                            (Паевой фонд)
T24_000000_t19Ved14.xlsx;Собственные акции, выкупленные у акционеров                                                    (Целевой капитал);SobAktVykUAkt(tsKap;5;6;Собственные акции, выкупленные у акционеров                                                    (Целевой капитал);Собственные акции, выкупленные у акционеров                                                    (Целевой капитал)
T24_000000_t19Ved14.xlsx;Добавочный капитал;DobKap;7;8;Добавочный капитал;Добавочный капитал
T24_000000_t19Ved14.xlsx;Добавочный капитал в том числе: переоценка внеоборотных активов;DobKapVToChiPerVneAkt;9;10;Добавочный капитал в том числе: переоценка внеоборотных активов;Добавочный капитал в том числе: переоценка внеоборотных активов
T24_000000_t19Ved14.xlsx;Добавочный капитал добавочный капитал (без переоценки)(целевые средства);DobKapDobKap(bPerSre;11;12;Добавочный капитал добавочный капитал (без переоценки)(целевые средства);Добавочный капитал добавочный капитал (без переоценки)(целевые средства)
T24_000000_t19Ved14.xlsx;Резервный капитал                        (Фонд недвижимого и особо ценного движимого имущества);RezKap(foNedIOsoTseDviImu;13;14;Резервный капитал                        (Фонд недвижимого и особо ценного движимого имущества);Резервный капитал                        (Фонд недвижимого и особо ценного движимого имущества)
T24_000000_t19Ved14.xlsx;Нераспределенная прибыль (непокрытый убыток)                    (Резервные и иные целевые фонды);NerPri(neUby(reIInTseFon;15;45;Нераспределенная прибыль (непокрытый убыток)                    (Резервные и иные целевые фонды);Нераспределенная прибыль (непокрытый убыток)                    (Резервные и иные целевые фонды)
T24_000000_t21Ved14.xlsx;Займы и кредиты;ZayIKre;3;4;"""начало"",""предыдущий"",""конец"",""отчетный"",""Займы и кредиты""";"""конец"",""отчетный"",""Займы и кредиты"""
T24_000000_t21Ved14.xlsx;Кредиторская задолженность;KreZad;5;6;"""начало"",""предыдущий"",""конец"",""отчетный"",""Кредиторская задолженность""";"""конец"",""отчетный"",""Кредиторская задолженность"""
T24_000000_t21Ved14.xlsx;Доходы будущих периодов;DohBudPer;7;8;"""начало"",""предыдущий"",""конец"",""отчетный"",""Доходы будущих периодов""";"""конец"",""отчетный"",""Доходы будущих периодов"""
T24_000000_t21Ved14.xlsx;Оценочные обязательства;OtsOby;9;10;"""начало"",""предыдущий"",""конец"",""отчетный"",""Оценочные обязательства""";"""конец"",""отчетный"",""Оценочные обязательства"""
T24_000000_t21Ved14.xlsx;Прочие краткосрочные обязательства;ProKraOby;11;33;"""начало"",""предыдущий"",""конец"",""отчетный"",""Прочие краткосрочные обязательства""";"""конец"",""отчетный"",""Прочие краткосрочные обязательства"""
T24_000000_t22Ved14.xlsx;Соотношение заемных и собственных средств (нормальное ограничение меньше либо равно 100%);SooZaeISobSre(noOgrMenLiRav100;3;4;"""начало"",""предыдущий"",""конец"",""отчетный"",""Соотношение заемных и собственных средств (нормальное ограничение меньше либо равно 100%)""";"""конец"",""отчетный"",""Соотношение заемных и собственных средств (нормальное ограничение меньше либо равно 100%)"""
T24_000000_t22Ved14.xlsx;Коэффициент автономии (доля собственных средств в валюте баланса) (нормальное ограничение больше либо равно 50 %);KoeAvt(doSobSreVValBal(noOgrBolLiRav50%);5;6;"""начало"",""предыдущий"",""конец"",""отчетный"",""Коэффициент автономии (доля собственных средств в валюте баланса) (нормальное ограничение больше либо равно 50 %)""";"""конец"",""отчетный"",""Коэффициент автономии (доля собственных средств в валюте баланса) (нормальное ограничение больше либо равно 50 %)"""
T24_000000_t22Ved14.xlsx;Коэффициент маневренности (доля собственных оборотных средств к источнику собственных средств);KoeMan(doSobOboSreKIstSobSre;7;8;"""начало"",""предыдущий"",""конец"",""отчетный"",""Коэффициент маневренности (доля собственных оборотных средств к источнику собственных средств)""";"""конец"",""отчетный"",""Коэффициент маневренности (доля собственных оборотных средств к источнику собственных средств)"""
T24_000000_t22Ved14.xlsx;Доля имущества производственного назначения в валюте баланса;DolImuProNazVValBal;9;10;"""начало"",""предыдущий"",""конец"",""отчетный"",""Доля имущества производственного назначения в валюте баланса""";"""конец"",""отчетный"",""Доля имущества производственного назначения в валюте баланса"""
T24_000000_t22Ved14.xlsx;Коэффициент обеспе-ченности собствен-ными материальными оборотными средствами;KoeObeSobMatOboSre;11;12;"""начало"",""предыдущий"",""конец"",""отчетный"",""Коэффициент обеспе-ченности собствен-ными материальными оборотными средствами""";"""конец"",""отчетный"",""Коэффициент обеспе-ченности собствен-ными материальными оборотными средствами"""
