Таблица;Источник
"1. БАЛАНС ОРГАНИЗАЦИЙ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ";T23_000000_t01Ved14.xlsx
"2. ПРОДОЛЖЕНИЕ БАЛАНСА";T23_000000_t01Ved14.xlsx
"3. ВНЕОБОРОТНЫЕ АКТИВЫ ОРГАНИЗАЦИЙ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ";T23_000000_t03Ved14.xlsx
"4. ПРОДОЛЖЕНИЕ ВНЕОБОРОТНЫХ АКТИВОВ";T23_000000_t03Ved14.xlsx
"5. ПРОДОЛЖЕНИЕ ВНЕОБОРОТНЫХ АКТИВОВ";T23_000000_t03Ved14.xlsx
"6. ПРОДОЛЖЕНИЕ ВНЕОБОРОТНЫХ АКТИВОВ";T23_000000_t03Ved14.xlsx
"7. ОБОРОТНЫЕ АКТИВЫ ОРГАНИЗАЦИЙ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ";T23_000000_t10Ved14.xlsx
"8. ПРОДОЛЖЕНИЕ ОБОРОТНЫХ АКТИВОВ";T23_000000_t10Ved14.xlsx
"9. ПРОДОЛЖЕНИЕ ОБОРОТНЫХ АКТИВОВ";T23_000000_t10Ved14.xlsx
"10. ПРОДОЛЖЕНИЕ ОБОРОТНЫХ АКТИВОВ";T23_000000_t10Ved14.xlsx
"11. ОБОРАЧИВАЕМОСТЬ ОБОРОТНЫХ АКТИВОВ ОРГАНИЗАЦИЙ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ";T23_000000_t13Ved14.xlsx
"12. ПРОДОЛЖЕНИЕ ОБОРАЧИВАЕМОСТИ";T23_000000_t13Ved14.xlsx
"13. ПРОДОЛЖЕНИЕ ОБОРАЧИВАЕМОСТИ";T23_000000_t13Ved14.xlsx
"14. КАПИТАЛ И РЕЗЕРВЫ ОРГАНИЗАЦИЙ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ";T23_000000_t19Ved14.xlsx
"15. ПРОДОЛЖЕНИЕ КАПИТАЛА И РЕЗЕРВОВ";T23_000000_t19Ved14.xlsx
"16. ПРОДОЛЖЕНИЕ КАПИТАЛА И РЕЗЕРВОВ";T23_000000_t19Ved14.xlsx
"17. ДОЛГОСРОЧНЫЕ ОБЯЗАТЕЛЬСТВА ОРГАНИЗАЦИЙ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ";T23_000000_t20Ved14.xlsx
"18. ПРОДОЛЖЕНИЕ ДОЛГОСРОЧНЫХ ОБЯЗАТЕЛЬСТВ";T23_000000_t20Ved14.xlsx
"19. КРАТКОСРОЧНЫЕ ОБЯЗАТЕЛЬСТВА ОРГАНИЗАЦИЙ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ";T23_000000_t21Ved14.xlsx
