table_num,table_name,excel_source,row,col,is_header_row,cell_type,value
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,3,9,False,DATA,250446609
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,3,10,False,DATA,250446609
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,3,11,False,DATA,318620610
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,4,0,False,OKVED_CODE,"Сельское, лесное хозяйство, охота, рыболовство и рыбоводство"
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,4,1,False,OKVED_NAME,249080092
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,4,2,False,DATA,334546911
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,4,3,False,DATA,334546911
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,4,4,False,DATA,334546911
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,4,5,False,DATA,143143680
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,4,6,False,DATA,143143680
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,4,7,False,DATA,170199721
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,4,8,False,DATA,170199721
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,4,9,False,DATA,105936412
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,4,10,False,DATA,105936412
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,4,11,False,DATA,164347190
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,5,0,False,OKVED_CODE,"растениеводство и животноводство, охота и предоставление соответствующих услуг 
в этих областях"
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,5,1,False,OKVED_NAME,4973395
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,5,2,False,DATA,5149746
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,5,3,False,DATA,5149746
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,5,4,False,DATA,5149746
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,5,5,False,DATA,3017850
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,5,6,False,DATA,3017850
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,5,7,False,DATA,2786821
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,5,8,False,DATA,2786821
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,5,9,False,DATA,1955545
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,5,10,False,DATA,1955545
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,5,11,False,DATA,2362925
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,6,0,False,OKVED_CODE,рыболовство и рыбоводство
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,6,1,False,OKVED_NAME,244106697
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,6,2,False,DATA,329397165
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,6,3,False,DATA,329397165
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,6,4,False,DATA,329397165
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,6,5,False,DATA,140125830
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,6,6,False,DATA,140125830
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,6,7,False,DATA,167412900
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,6,8,False,DATA,167412900
